index,pollen_score,tagid,starttime,endtime,event
1653775,5.739289490325206e-06,516,2017-06-27 16:01:03.050,2017-06-27 16:01:03.250,entering
1653782,7.093465726479634e-07,516,2017-06-27 16:01:03.850,2017-06-27 16:01:04.000,entering
1653797,4.675869538547639e-06,516,2017-06-27 16:01:04.900,2017-06-27 16:01:05.750,entering
1653805,4.416109991336821e-05,516,2017-06-27 16:01:06.050,2017-06-27 16:01:07.100,entering
1654170,0.0504011440339266,516,2017-06-27 16:01:54.450,2017-06-27 16:01:54.600,entering
1654171,0.0006742410426503,516,2017-06-27 16:01:54.650,2017-06-27 16:01:55.200,entering
1757739,0.3159665391568277,516,2017-06-28 09:59:36.500,2017-06-28 09:59:36.600,entering
1757740,8.016949716285185e-07,516,2017-06-28 09:59:36.650,2017-06-28 09:59:37.000,entering
1873918,0.0214903108972066,516,2017-06-28 15:03:36.400,2017-06-28 15:03:36.500,entering
1873925,1.00847918178231e-05,516,2017-06-28 15:03:37.550,2017-06-28 15:03:37.850,entering
1873932,0.0106764269687561,516,2017-06-28 15:03:38.700,2017-06-28 15:03:41.400,entering
1874203,0.0006163054399242,516,2017-06-28 15:04:15.750,2017-06-28 15:04:15.850,entering
1874205,0.0265180217050746,516,2017-06-28 15:04:15.950,2017-06-28 15:04:17.000,entering
1874451,0.0005376458071264,516,2017-06-28 15:04:44.200,2017-06-28 15:04:44.400,leaving
1874457,0.001131713806327,516,2017-06-28 15:04:44.450,2017-06-28 15:04:45.800,leaving
1874468,0.1227863258822925,516,2017-06-28 15:04:45.850,2017-06-28 15:04:46.200,leaving
1874471,0.0001124245670481,516,2017-06-28 15:04:46.250,2017-06-28 15:04:46.600,entering
3302,0.0002718079121272,677,2017-06-21 08:07:22.750,2017-06-21 08:07:24.700,NV
4482,0.0007338130094328,677,2017-06-21 08:09:44.850,2017-06-21 08:09:45.300,NV
21513,0.0120124917761149,677,2017-06-21 08:42:59.400,2017-06-21 08:43:00.650,entering
21528,0.0001015569212067,677,2017-06-21 08:43:01.050,2017-06-21 08:43:01.400,NV
22866,0.0082303513556068,677,2017-06-21 08:45:30.500,2017-06-21 08:45:32.800,leaving
47482,0.0294523356733375,677,2017-06-21 09:40:15.300,2017-06-21 09:40:17.750,entering
51329,4.16149188026127e-10,677,2017-06-21 09:57:20.200,2017-06-21 09:57:20.350,leaving
74786,0.0011622426080019,677,2017-06-21 12:03:41.000,2017-06-21 12:03:41.350,NV
74788,0.0001328445588858,677,2017-06-21 12:03:41.600,2017-06-21 12:03:43.400,entering
114927,0.0228399135522021,677,2017-06-21 14:41:22.300,2017-06-21 14:41:23.350,entering
121034,3.119029331024744e-05,677,2017-06-21 14:57:39.050,2017-06-21 14:57:40.550,leaving
121039,2.745614058596857e-06,677,2017-06-21 14:57:40.600,2017-06-21 14:57:40.800,leaving
3572,1.0675354739457058e-05,638,2017-06-21 08:07:51.900,2017-06-21 08:07:52.000,NV
3574,5.688406105589048e-06,638,2017-06-21 08:07:52.050,2017-06-21 08:07:52.200,entering
3575,0.0704515014043834,638,2017-06-21 08:07:52.250,2017-06-21 08:07:52.750,entering
